id	name	kind	tactics	parent	platforms	summary	status	replaced_by
T1087.003	Email Account	subtechnique	TA0007	T1087	Windows,Office Suite	Adversaries may attempt to get a listing of email addresses and accounts.	active	
T1087.004	Cloud Account	subtechnique	TA0007	T1087	IaaS,Identity Provider,Office Suite,SaaS	Adversaries may attempt to get a listing of cloud accounts.	active	
T1088	Bypass User Account Control	technique	TA0004,TA0005		Windows	Windows User Account Control (UAC) allows a program to elevate its privileges to perform a task under administrator-level permissions by prompting the user for confirmation.	revoked	T1548.002
T1089	Disabling Security Tools	technique	TA0005		Linux,macOS,Windows	Adversaries may disable security tools to avoid possible detection of their tools and activities.	revoked	T1685
T1090	Proxy	technique	TA0011		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure.	active	
T1090.001	Internal Proxy	subtechnique	TA0011	T1090	ESXi,Linux,macOS,Network Devices,Windows	Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment.	active	
T1090.002	External Proxy	subtechnique	TA0011	T1090	ESXi,Linux,macOS,Network Devices,Windows	Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure.	active	
T1090.003	Multi-hop Proxy	subtechnique	TA0011	T1090	ESXi,Linux,macOS,Network Devices,Windows	Adversaries may chain together multiple proxies to disguise the source of malicious traffic.	active	
T1090.004	Domain Fronting	subtechnique	TA0011	T1090	Linux,macOS,Windows,ESXi	Adversaries may take advantage of routing schemes in Content Delivery Networks (CDNs) and other services which host multiple domains to obfuscate the intended destination of HTTPS traffic or traffic tunneled through HTTPS.	active	
T1091	Replication Through Removable Media	technique	TA0001,TA0008		Windows	Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes.	active	
T1092	Communication Through Removable Media	technique	TA0011		Linux,macOS,Windows	Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system.	active	
T1093	Process Hollowing	technique	TA0005		Windows	Process hollowing occurs when a process is created in a suspended state then its memory is unmapped and replaced with malicious code.	revoked	T1055.012
T1094	Custom Command and Control Protocol	technique	TA0011		Linux,macOS,Windows	Adversaries may communicate using a custom command and control protocol instead of encapsulating commands/data in an existing Application Layer Protocol.	revoked	T1095
T1095	Non-Application Layer Protocol	technique	TA0011		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network.	active	
T1096	NTFS File Attributes	technique	TA0005		Windows	Every New Technology File System (NTFS) formatted partition contains a Master File Table (MFT) that maintains a record for every file/directory on the partition.	revoked	T1564.004
T1097	Pass the Ticket	technique	TA0008		Windows	Pass the ticket (PtT) is a method of authenticating to a system using Kerberos tickets without having access to an account's password.	revoked	T1550.003
T1098	Account Manipulation	technique	TA0003,TA0004		Containers,ESXi,IaaS,Identity Provider,Linux,macOS,Network Devices,Office Suite,SaaS,Windows	Adversaries may manipulate accounts to maintain and/or elevate access to victim systems.	active	
T1098.001	Additional Cloud Credentials	subtechnique	TA0003,TA0004	T1098	IaaS,Identity Provider,SaaS	Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.	active	
T1098.002	Additional Email Delegate Permissions	subtechnique	TA0003,TA0004	T1098	Windows,Office Suite	Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.	active	
T1098.003	Additional Cloud Roles	subtechnique	TA0003,TA0004	T1098	IaaS,Identity Provider,Office Suite,SaaS	An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant.	active	
T1098.004	SSH Authorized Keys	subtechnique	TA0003,TA0004	T1098	ESXi,IaaS,Linux,macOS,Network Devices	Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host.	active	
T1098.005	Device Registration	subtechnique	TA0003,TA0004	T1098	Windows,Identity Provider	Adversaries may register a device to an adversary-controlled account.	active	
T1098.006	Additional Container Cluster Roles	subtechnique	TA0003,TA0004	T1098	Containers	An adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system.	active	
T1098.007	Additional Local or Domain Groups	subtechnique	TA0003,TA0004	T1098	Windows,macOS,Linux	An adversary may add additional local or domain groups to an adversary-controlled account to maintain persistent access to a system or domain.	active	
T1099	Timestomp	technique	TA0005		Linux,Windows,macOS	Adversaries may take actions to hide the deployment of new, or modification of existing files to obfuscate their activities.	revoked	T1070.006
T1100	Web Shell	technique	TA0003,TA0004		Linux,Windows,macOS	A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to use the Web server as a gateway into a network.	revoked	T1505.003
T1101	Security Support Provider	technique	TA0003		Windows	Windows Security Support Provider (SSP) DLLs are loaded into the Local Security Authority (LSA) process at system start.	revoked	T1547.005
T1102	Web Service	technique	TA0011		ESXi,Linux,macOS,Windows	Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system.	active	
T1102.001	Dead Drop Resolver	subtechnique	TA0011	T1102	ESXi,Linux,macOS,Windows	Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure.	active	
T1102.002	Bidirectional Communication	subtechnique	TA0011	T1102	ESXi,Linux,macOS,Windows	Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel.	active	
T1102.003	One-Way Communication	subtechnique	TA0011	T1102	Linux,macOS,Windows,ESXi	Adversaries may use an existing, legitimate external Web service as a means for sending commands to a compromised system without receiving return output over the Web service channel.	active	
T1103	AppInit DLLs	technique	TA0003,TA0004		Windows	Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows or HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows are loaded by user32.dll into every process...	revoked	T1546.010
T1104	Multi-Stage Channels	technique	TA0011		Linux,macOS,Windows,ESXi	Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions.	active	
T1105	Ingress Tool Transfer	technique	TA0011		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may transfer tools or other files from an external system into a compromised environment.	active	
T1106	Native API	technique	TA0002		Linux,macOS,Windows	Adversaries may interact with the native OS application programming interface (API) to execute behaviors.	active	
T1107	File Deletion	technique	TA0005		Linux,macOS,Windows	Adversaries may delete files left behind by the actions of their intrusion activity.	revoked	T1070.004
T1108	Redundant Access	technique	TA0003,TA0005		Windows,SaaS,IaaS,Linux,macOS,Office Suite,Identity Provider	**This technique has been deprecated.	deprecated	
T1109	Component Firmware	technique	TA0003,TA0005		Windows	Some adversaries may employ sophisticated means to compromise computer components and install malicious firmware that will execute adversary code outside of the operating system and main system firmware or BIOS.	revoked	T1542.002
T1110	Brute Force	technique	TA0006		Containers,ESXi,IaaS,Identity Provider,Linux,macOS,Network Devices,Office Suite,SaaS,Windows	Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.	active	
T1110.001	Password Guessing	subtechnique	TA0006	T1110	Containers,ESXi,IaaS,Identity Provider,Linux,macOS,Network Devices,Office Suite,SaaS,Windows	Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts.	active	
T1110.002	Password Cracking	subtechnique	TA0006	T1110	Identity Provider,Linux,macOS,Network Devices,Office Suite,Windows	Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained.	active	
T1110.003	Password Spraying	subtechnique	TA0006	T1110	Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS	Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials.	active	
T1110.004	Credential Stuffing	subtechnique	TA0006	T1110	Containers,ESXi,IaaS,Identity Provider,Linux,macOS,Network Devices,Office Suite,SaaS,Windows	Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap.	active	
T1111	Multi-Factor Authentication Interception	technique	TA0006		Linux,macOS,Windows	Adversaries may target multi-factor authentication (MFA) mechanisms, (i.e., smart cards, token generators, etc.) to gain access to credentials that can be used to access systems, services, and network resources.	active	
T1112	Modify Registry	technique	TA0003,TA0112		Windows	Adversaries may interact with the Windows Registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution.	active	
T1113	Screen Capture	technique	TA0009		Linux,macOS,Windows	Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation.	active	
T1114	Email Collection	technique	TA0009		Windows,macOS,Linux,Office Suite	Adversaries may target user email to collect sensitive information.	active	
T1114.001	Local Email Collection	subtechnique	TA0009	T1114	Windows	Adversaries may target user email on local systems to collect sensitive information.	active	
T1114.002	Remote Email Collection	subtechnique	TA0009	T1114	Office Suite,Windows	Adversaries may target an Exchange server, Office 365, or Google Workspace to collect sensitive information.	active	
T1114.003	Email Forwarding Rule	subtechnique	TA0009	T1114	Linux,macOS,Office Suite,Windows	Adversaries may setup email forwarding rules to collect sensitive information.	active	
T1115	Clipboard Data	technique	TA0009		Linux,macOS,Windows	Adversaries may collect data stored in the clipboard from users copying information within or between applications.	active	
T1116	Code Signing	technique	TA0005		macOS,Windows	Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with.	revoked	T1553.002
T1117	Regsvr32	technique	TA0002,TA0005		Windows	Regsvr32.exe is a command-line program used to register and unregister object linking and embedding controls, including dynamic link libraries (DLLs), on Windows systems.	revoked	T1218.010
T1118	InstallUtil	technique	TA0002,TA0005		Windows	InstallUtil is a command-line utility that allows for installation and uninstallation of resources by executing specific installer components specified in .NET binaries.	revoked	T1218.004
T1119	Automated Collection	technique	TA0009		IaaS,Linux,macOS,Office Suite,SaaS,Windows	Once established within a system or network, an adversary may use automated techniques for collecting internal data.	active	
T1120	Peripheral Device Discovery	technique	TA0007		Linux,macOS,Windows	Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system.	active	
T1121	Regsvcs/Regasm	technique	TA0002,TA0005		Windows	Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies.	revoked	T1218.009
T1122	Component Object Model Hijacking	technique	TA0003,TA0005		Windows	The Component Object Model (COM) is a system within Windows to enable interaction between software components through the operating system.	revoked	T1546.015
T1123	Audio Capture	technique	TA0009		Linux,macOS,Windows	An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information.	active	
T1124	System Time Discovery	technique	TA0007		ESXi,Linux,macOS,Network Devices,Windows	An adversary may gather the system time and/or time zone settings from a local or remote system.	active	
T1125	Video Capture	technique	TA0009		Linux,macOS,Windows	An adversary can leverage a computer's peripheral devices (e.g., integrated cameras or webcams) or applications (e.g., video call services) to capture video recordings for the purpose of gathering information.	active	
T1126	Network Share Connection Removal	technique	TA0005		Windows	Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation.	revoked	T1070.005
T1127	Trusted Developer Utilities Proxy Execution	technique	TA0002,TA0005		Windows	Adversaries may take advantage of trusted developer utilities to proxy execution of malicious payloads.	active	
T1127.001	MSBuild	subtechnique	TA0002,TA0005	T1127	Windows	Adversaries may use MSBuild to proxy execution of code through a trusted Windows utility.	active	
T1127.002	ClickOnce	subtechnique	TA0002,TA0005	T1127	Windows	Adversaries may use ClickOnce applications (.appref-ms and .application files) to proxy execution of code through a trusted Windows utility.	active	
T1127.003	JamPlus	subtechnique	TA0002,TA0005	T1127	Windows	Adversaries may use JamPlus to proxy the execution of a malicious script.	active	
T1128	Netsh Helper DLL	technique	TA0003		Windows	Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system.	revoked	T1546.007
T1129	Shared Modules	technique	TA0002		Linux,macOS,Windows	Adversaries may execute malicious payloads via loading shared modules.	active	
T1130	Install Root Certificate	technique	TA0005		Linux,Windows,macOS	Root certificates are used in public key cryptography to identify a root certificate authority (CA).	revoked	T1553.004
T1131	Authentication Package	technique	TA0003		Windows	Windows Authentication Package DLLs are loaded by the Local Security Authority (LSA) process at system start.	revoked	T1547.002
T1132	Data Encoding	technique	TA0011		ESXi,Linux,macOS,Windows	Adversaries may encode data to make the content of command and control traffic more difficult to detect.	active	
T1132.001	Standard Encoding	subtechnique	TA0011	T1132	ESXi,Linux,macOS,Windows	Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect.	active	
T1132.002	Non-Standard Encoding	subtechnique	TA0011	T1132	ESXi,Linux,macOS,Windows	Adversaries may encode data with a non-standard data encoding system to make the content of command and control traffic more difficult to detect.	active	
T1133	External Remote Services	technique	TA0001,TA0003		Containers,Linux,macOS,Windows	Adversaries may leverage external-facing remote services to initially access and/or persist within a network.	active	
T1134	Access Token Manipulation	technique	TA0004,TA0005		Windows	Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.	active	
T1134.001	Token Impersonation/Theft	subtechnique	TA0004,TA0005	T1134	Windows	Adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls.	active	
T1134.002	Create Process with Token	subtechnique	TA0004,TA0005	T1134	Windows	Adversaries may create a new process with an existing token to escalate privileges and bypass access controls.	active	
T1134.003	Make and Impersonate Token	subtechnique	TA0004,TA0005	T1134	Windows	Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls.	active	
T1134.004	Parent PID Spoofing	subtechnique	TA0004,TA0005	T1134	Windows	Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges.	active	
T1134.005	SID-History Injection	subtechnique	TA0004,TA0005	T1134	Windows	Adversaries may use SID-History Injection to escalate privileges and bypass access controls.	active	
T1135	Network Share Discovery	technique	TA0007		Linux,macOS,Windows	Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.	active	
T1136	Create Account	technique	TA0003		Windows,IaaS,Linux,macOS,Network Devices,Containers,SaaS,Office Suite,Identity Provider,ESXi	Adversaries may create an account to maintain access to victim systems.	active	
T1136.001	Local Account	subtechnique	TA0003	T1136	Containers,ESXi,Linux,macOS,Network Devices,Windows	Adversaries may create a local account to maintain access to victim systems.	active	
T1136.002	Domain Account	subtechnique	TA0003	T1136	Linux,macOS,Windows	Adversaries may create a domain account to maintain access to victim systems.	active	
T1136.003	Cloud Account	subtechnique	TA0003	T1136	IaaS,SaaS,Office Suite,Identity Provider	Adversaries may create a cloud account to maintain access to victim systems.	active	
T1137	Office Application Startup	technique	TA0003		Windows,Office Suite	Adversaries may leverage Microsoft Office-based applications for persistence between startups.	active	
T1137.001	Office Template Macros	subtechnique	TA0003	T1137	Office Suite,Windows	Adversaries may abuse Microsoft Office templates to obtain persistence on a compromised system.	active	
T1137.002	Office Test	subtechnique	TA0003	T1137	Windows,Office Suite	Adversaries may abuse the Microsoft Office "Office Test" Registry key to obtain persistence on a compromised system.	active	
T1137.003	Outlook Forms	subtechnique	TA0003	T1137	Windows,Office Suite	Adversaries may abuse Microsoft Outlook forms to obtain persistence on a compromised system.	active	
T1137.004	Outlook Home Page	subtechnique	TA0003	T1137	Windows,Office Suite	Adversaries may abuse Microsoft Outlook's Home Page feature to obtain persistence on a compromised system.	active	
T1137.005	Outlook Rules	subtechnique	TA0003	T1137	Windows,Office Suite	Adversaries may abuse Microsoft Outlook rules to obtain persistence on a compromised system.	active	
T1137.006	Add-ins	subtechnique	TA0003	T1137	Windows,Office Suite	Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system.	active	
T1138	Application Shimming	technique	TA0003,TA0004		Windows	The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time.	revoked	T1546.011
T1139	Bash History	technique	TA0006		Linux,macOS	Bash keeps track of the commands users type on the command-line with the "history" utility.	revoked	T1552.003
T1140	Deobfuscate/Decode Files or Information	technique	TA0005		ESXi,Linux,macOS,Windows	Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis.	active	
T1141	Input Prompt	technique	TA0006		macOS,Windows	When programs are executed that need additional privileges than are present in the current user context, it is common for the operating system to prompt the user for proper credentials to authorize the elevated privileges for the task (ex: Bypass User Account Control).	revoked	T1056.002
T1142	Keychain	technique	TA0006		macOS	Keychains are the built-in way for macOS to keep track of users' passwords and credentials for many services and features such as WiFi passwords, websites, secure notes, certificates, and Kerberos.	revoked	T1555.001
T1143	Hidden Window	technique	TA0005		macOS,Windows	Adversaries may implement hidden windows to conceal malicious activity from the plain sight of users.	revoked	T1564.003
T1144	Gatekeeper Bypass	technique	TA0005		macOS	In macOS and OS X, when applications or programs are downloaded from the internet, there is a special attribute set on the file called com.apple.quarantine.	revoked	T1553.001
T1145	Private Keys	technique	TA0006		Linux,macOS,Windows	Private cryptographic keys and certificates are used for authentication, encryption/decryption, and digital signatures.	revoked	T1552.004
T1146	Clear Command History	technique	TA0005		Linux,macOS	In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion.	revoked	T1070.003
T1147	Hidden Users	technique	TA0005		macOS	Every user account in macOS has a userID associated with it.	revoked	T1564.002
T1148	HISTCONTROL	technique	TA0005		Linux,macOS	The HISTCONTROL environment variable keeps track of what should be saved by the history command and eventually into the ~/.bash_history file when a user logs out.	revoked	T1690
T1149	LC_MAIN Hijacking	technique	TA0005		macOS	**This technique has been deprecated and should no longer be used.** As of OS X 10.8, mach-O binaries introduced a new header called LC_MAIN that points to the binary's entry point for execution.	deprecated	
T1150	Plist Modification	technique	TA0003,TA0004,TA0005		macOS	Property list (plist) files contain all of the information that macOS and OS X uses to configure applications and services.	revoked	T1547.011
T1151	Space after Filename	technique	TA0002,TA0005		Linux,macOS	Adversaries can hide a program's true filetype by changing the extension of a file.	revoked	T1036.006
T1152	Launchctl	technique	TA0002,TA0003,TA0005		macOS	Launchctl controls the macOS launchd process which handles things like launch agents and launch daemons, but can execute other commands or programs itself.	revoked	T1569.001
T1153	Source	technique	TA0002		Linux,macOS	**This technique has been deprecated and should no longer be used.** The source command loads functions into the current shell or executes files in the current context.	deprecated	
T1154	Trap	technique	TA0002,TA0003		Linux,macOS	The trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals.	revoked	T1546.005
T1155	AppleScript	technique	TA0002		macOS	macOS and OS X applications send AppleEvent messages to each other for interprocess communications (IPC).	revoked	T1059.002
T1156	Malicious Shell Modification	technique	TA0003		Linux,macOS	Adversaries may establish persistence through executing malicious commands triggered by a user's shell.	revoked	T1546.004
T1157	Dylib Hijacking	technique	TA0003,TA0004		macOS	macOS and OS X use a common method to look for required dynamic libraries (dylib) to load into a program based on search paths.	revoked	T1574.004
T1158	Hidden Files and Directories	technique	TA0003,TA0005		Linux,macOS,Windows	To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a 'hidden' file.	revoked	T1564.001
T1159	Launch Agent	technique	TA0003		macOS	Per Apple's developer documentation, when a user logs in, a per-user launchd process is started which loads the parameters for each launch-on-demand user agent from the property list (plist) files found in /System/Library/LaunchAgents, /Library/LaunchAgents, and $HOME/Library/LaunchAgents .	revoked	T1543.001
T1160	Launch Daemon	technique	TA0003,TA0004		macOS	Per Apple's developer documentation, when macOS and OS X boot up, launchd is run to finish system initialization.	revoked	T1543.004
T1161	LC_LOAD_DYLIB Addition	technique	TA0003		macOS	Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded.	revoked	T1546.006
T1162	Login Item	technique	TA0003		macOS	MacOS provides the option to list specific applications to run when a user logs in.	revoked	T1547.011
T1163	Rc.common	technique	TA0003		macOS	During the boot process, macOS executes source /etc/rc.common, which is a shell script containing various utility functions.	revoked	T1037.004
T1164	Re-opened Applications	technique	TA0003		macOS	Starting in Mac OS X 10.7 (Lion), users can specify certain applications to be re-opened when a user reboots their machine.	revoked	T1547.007
T1165	Startup Items	technique	TA0003,TA0004		macOS	Per Apple's documentation, startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items .	revoked	T1037.005
T1166	Setuid and Setgid	technique	TA0003,TA0004		Linux,macOS	When the setuid or setgid bits are set on Linux or macOS for an application, this means that the application will run with the privileges of the owning user or group respectively .	revoked	T1548.001
T1167	Securityd Memory	technique	TA0006		macOS	In OS X prior to El Capitan, users with root access can read plaintext keychain passwords of logged-in users because Apple's keychain implementation allows these credentials to be cached so that users are not repeatedly prompted for passwords.	revoked	T1555.002
T1168	Local Job Scheduling	technique	TA0002,TA0003		Linux,macOS	On Linux and macOS systems, multiple methods are supported for creating pre-scheduled and periodic background jobs: cron, at, and launchd.	revoked	T1053
T1169	Sudo	technique	TA0004		Linux,macOS	The sudoers file, /etc/sudoers, describes which users can run which commands and from which terminals.	revoked	T1548.003
T1170	Mshta	technique	TA0002,TA0005		Windows	Mshta.exe is a utility that executes Microsoft HTML Applications (HTA).	revoked	T1218.005
T1171	LLMNR/NBT-NS Poisoning and Relay	technique	TA0006		Windows	Link-Local Multicast Name Resolution (LLMNR) and NetBIOS Name Service (NBT-NS) are Microsoft Windows components that serve as alternate methods of host identification.	revoked	T1557.001
T1172	Domain Fronting	technique	TA0011		Linux,macOS,Windows	Domain fronting takes advantage of routing schemes in Content Delivery Networks (CDNs) and other services which host multiple domains to obfuscate the intended destination of HTTPS traffic or traffic tunneled through HTTPS.	revoked	T1090.004
T1173	Dynamic Data Exchange	technique	TA0002		Windows	Windows Dynamic Data Exchange (DDE) is a client-server protocol for one-time and/or continuous inter-process communication (IPC) between applications.	revoked	T1559.002
T1174	Password Filter DLL	technique	TA0006		Windows	Windows password filters are password policy enforcement mechanisms for both domain and local accounts.	revoked	T1556.002
T1175	Component Object Model and Distributed COM	technique	TA0002,TA0008		Windows	**This technique has been deprecated.	deprecated	
T1176	Software Extensions	technique	TA0003		Linux,macOS,Windows	Adversaries may abuse software extensions to establish persistent access to victim systems.	active	
T1176.001	Browser Extensions	subtechnique	TA0003	T1176	Linux,Windows,macOS	Adversaries may abuse internet browser extensions to establish persistent access to victim systems.	active	
T1176.002	IDE Extensions	subtechnique	TA0003	T1176	Linux,macOS,Windows	Adversaries may abuse an integrated development environment (IDE) extension to establish persistent access to victim systems.	active	
T1177	LSASS Driver	technique	TA0002,TA0003		Windows	The Windows security subsystem is a set of components that manage and enforce the security policy for a computer or domain.	revoked	T1547.008
T1178	SID-History Injection	technique	TA0004		Windows	The Windows security identifier (SID) is a unique value that identifies a user or group account.	revoked	T1134.005
T1179	Hooking	technique	TA0003,TA0004,TA0006		Windows	Windows processes often leverage application programming interface (API) functions to perform tasks that require reusable system resources.	revoked	T1056.004
T1180	Screensaver	technique	TA0003		Windows	Screensavers are programs that execute after a configurable time of user inactivity and consist of Portable Executable (PE) files with a .scr file extension.	revoked	T1546.002
T1181	Extra Window Memory Injection	technique	TA0004,TA0005		Windows	Before creating a window, graphical Windows-based processes must prescribe to or register a windows class, which stipulate appearance and behavior (via windows procedures, which are functions that handle input/output of data).	revoked	T1055.011
T1182	AppCert DLLs	technique	TA0003,TA0004		Windows	Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager are loaded into every process that calls the ubiquitously used application programming interface (API) functions CreateProcess,...	revoked	T1546.009
T1183	Image File Execution Options Injection	technique	TA0003,TA0004,TA0005		Windows	Image File Execution Options (IFEO) enable a developer to attach a debugger to an application.	revoked	T1546.012
T1184	SSH Hijacking	technique	TA0008		Linux,macOS	Secure Shell (SSH) is a standard means of remote access on Linux and macOS systems.	revoked	T1563.001
T1185	Browser Session Hijacking	technique	TA0009		Windows	Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.	active	
T1186	Process Doppelgänging	technique	TA0005		Windows	Windows Transactional NTFS (TxF) was introduced in Vista as a method to perform safe file operations.	revoked	T1055.013
T1187	Forced Authentication	technique	TA0006		Windows	Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.	active	
T1188	Multi-hop Proxy	technique	TA0011		Linux,macOS,Windows	To disguise the source of malicious traffic, adversaries may chain together multiple proxies.	revoked	T1090.003
T1189	Drive-by Compromise	technique	TA0001		Identity Provider,Linux,macOS,Windows	Adversaries may gain access to a system through a user visiting a website over the normal course of browsing.	active	
T1190	Exploit Public-Facing Application	technique	TA0001		Containers,ESXi,IaaS,Linux,macOS,Network Devices,Windows	Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.	active	
T1191	CMSTP	technique	TA0002,TA0005		Windows	The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles.	revoked	T1218.003
T1192	Spearphishing Link	technique	TA0001		Windows,macOS,Linux,Office 365,SaaS	Spearphishing with a link is a specific variant of spearphishing.	revoked	T1566.002
T1193	Spearphishing Attachment	technique	TA0001		Windows,macOS,Linux	Spearphishing attachment is a specific variant of spearphishing.	revoked	T1566.001
T1194	Spearphishing via Service	technique	TA0001		Windows,macOS,Linux	Spearphishing via service is a specific variant of spearphishing.	revoked	T1566.003
T1195	Supply Chain Compromise	technique	TA0001		Linux,Windows,macOS,SaaS	Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise.	active	
T1195.001	Compromise Software Dependencies and Development Tools	subtechnique	TA0001	T1195	Linux,macOS,Windows	Adversaries may manipulate software dependencies and development tools prior to receipt by a final consumer for the purpose of data or system compromise.	active	
T1195.002	Compromise Software Supply Chain	subtechnique	TA0001	T1195	Linux,Windows,macOS	Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise.	active	
T1195.003	Compromise Hardware Supply Chain	subtechnique	TA0001	T1195	Linux,macOS,Windows	Adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise.	active	
T1196	Control Panel Items	technique	TA0002,TA0005		Windows	Windows Control Panel items are utilities that allow users to view and adjust computer settings.	revoked	T1218.002
T1197	BITS Jobs	technique	TA0002,TA0003,TA0005		Windows	Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks.	active	
T1198	SIP and Trust Provider Hijacking	technique	TA0003,TA0005		Windows	In user mode, Windows Authenticode digital signatures are used to verify a file's origin and integrity, variables that may be used to establish trust in signed code (ex: a driver with a valid Microsoft signature may be handled as safe).	revoked	T1553.003
T1199	Trusted Relationship	technique	TA0001		IaaS,Identity Provider,Linux,macOS,Office Suite,SaaS,Windows	Adversaries may breach or otherwise leverage organizations who have access to intended victims.	active	
T1200	Hardware Additions	technique	TA0001		Windows,Linux,macOS	Adversaries may physically introduce computer accessories, networking hardware, or other computing devices into a system or network that can be used as a vector to gain access.	active	
T1201	Password Policy Discovery	technique	TA0007		Windows,Linux,macOS,IaaS,Network Devices,Identity Provider,SaaS,Office Suite	Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment.	active	
T1202	Indirect Command Execution	technique	TA0005		Windows	Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters.	active	
T1203	Exploitation for Client Execution	technique	TA0002		Linux,macOS,Windows	Adversaries may exploit software vulnerabilities in client applications to execute code.	active	
T1204	User Execution	technique	TA0002		Linux,Windows,macOS,IaaS,Containers	An adversary may rely upon specific actions by a user in order to gain execution.	active	
T1204.001	Malicious Link	subtechnique	TA0002	T1204	Linux,macOS,Windows	An adversary may rely upon a user clicking a malicious link in order to gain execution.	active	
T1204.002	Malicious File	subtechnique	TA0002	T1204	Linux,macOS,Windows	An adversary may rely upon a user opening a malicious file in order to gain execution.	active	
